Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_452.xvg,0.0000,71821.008,-1495747.9,0.0000000,-12681.984,-12867.079,-12904.326,-12917.417,-12922.939,-12925.415,-12926.546,-12927.056,-12927.275,-12927.359
dhdl_modified_453.xvg,0.0000,68201.727,-1437749.2,0.0000000,-12344.660,-12528.893,-12566.042,-12579.109,-12584.622,-12587.095,-12588.224,-12588.733,-12588.952,-12589.036
dhdl_modified_454.xvg,0.0000,64781.270,-1382119.8,0.0000000,-12016.885,-12200.251,-12237.302,-12250.345,-12255.849,-12258.318,-12259.446,-12259.954,-12260.173,-12260.257
dhdl_modified_455.xvg,0.0000,61548.164,-1328760.0,0.0000000,-11698.385,-11880.881,-11917.833,-11930.852,-11936.346,-11938.812,-11939.938,-11940.446,-11940.664,-11940.748
dhdl_modified_456.xvg,0.0000,58491.172,-1277566.8,0.0000000,-11388.841,-11570.462,-11607.315,-11620.309,-11625.794,-11628.256,-11629.381,-11629.888,-11630.106,-11630.189
dhdl_modified_457.xvg,0.0000,55600.594,-1228455.4,0.0000000,-11088.033,-11268.777,-11305.529,-11318.498,-11323.975,-11326.433,-11327.556,-11328.062,-11328.280,-11328.363
dhdl_modified_458.xvg,0.0000,52866.547,-1181333.5,0.0000000,-10795.676,-10975.538,-11012.189,-11025.133,-11030.600,-11033.055,-11034.176,-11034.682,-11034.899,-11034.982
dhdl_modified_459.xvg,0.0000,50280.062,-1136116.2,0.0000000,-10511.516,-10690.492,-10727.042,-10739.960,-10745.419,-10747.869,-10748.989,-10749.494,-10749.710,-10749.794
dhdl_modified_460.xvg,0.0000,47832.672,-1092723.8,0.0000000,-10235.311,-10413.399,-10449.847,-10462.739,-10468.188,-10470.635,-10471.753,-10472.257,-10472.473,-10472.557
dhdl_modified_461.xvg,0.0000,45516.203,-1051074.6,0.0000000,-9966.8010,-10143.996,-10180.341,-10193.207,-10198.647,-10201.090,-10202.206,-10202.709,-10202.926,-10203.009
dhdl_modified_462.xvg,0.0000,43323.523,-1011101.2,0.0000000,-9705.7922,-9882.0917,-9918.3324,-9931.1729,-9936.6029,-9939.0418,-9940.1563,-9940.6590,-9940.8749,-9940.9580
dhdl_modified_463.xvg,0.0000,41247.422,-972730.19,0.0000000,-9452.0456,-9627.4460,-9663.5822,-9676.3964,-9681.8168,-9684.2517,-9685.3646,-9685.8665,-9686.0821,-9686.1650
dhdl_modified_464.xvg,0.0000,39281.250,-935893.19,0.0000000,-9205.3415,-9379.8393,-9415.8705,-9428.6581,-9434.0688,-9436.4998,-9437.6109,-9438.1121,-9438.3273,-9438.4102
dhdl_modified_465.xvg,0.0000,37418.816,-900526.75,0.0000000,-8965.4736,-9139.0658,-9174.9912,-9187.7520,-9193.1530,-9195.5799,-9196.6893,-9197.1897,-9197.4046,-9197.4873
dhdl_modified_466.xvg,0.0000,35654.180,-866567.12,0.0000000,-8732.2294,-8904.9124,-8940.7314,-8953.4652,-8958.8564,-8961.2792,-8962.3868,-8962.8864,-8963.1010,-8963.1836
dhdl_modified_467.xvg,0.0000,33981.988,-833958.50,0.0000000,-8505.4345,-8677.2054,-8712.9172,-8725.6239,-8731.0051,-8733.4238,-8734.5297,-8735.0285,-8735.2428,-8735.3252
dhdl_modified_468.xvg,0.0000,32397.012,-802643.69,0.0000000,-8284.8898,-8455.7456,-8491.3495,-8504.0287,-8509.4000,-8511.8146,-8512.9186,-8513.4167,-8513.6306,-8513.7129
dhdl_modified_469.xvg,0.0000,30894.324,-772567.88,0.0000000,-8070.4067,-8240.3444,-8275.8398,-8288.4914,-8293.8525,-8296.2630,-8297.3652,-8297.8625,-8298.0760,-8298.1582
